	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc20	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc30	515rcbc28	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_10009_6.txt	10009	6	2876.3137931	2206.01333333	2371.66101695	2347.26720648	2601.47292419	2445.22408027	n/a	2352.11553785	2206.86124402	2399.09926471	2705.53481013	2595.11971831	2498.73426573	2499.88607595	2642.56985294	2417.97211155	2290.63559322	2555.72413793	2149.05597015	2648.01090909	2886.06521739	2492.82068966	2557.77272727	2507.2109375	2911.390681	2468.31395349	2497.79553903	2741.414791	2142.27731092	2157.18677043
alpha_rarefaction_10009_7.txt	10009	7	2784.99317406	2025.24050633	2744.10714286	2408.0	2419.3943662	2603.98175182	n/a	2367.22134387	2208.25446429	2358.32103321	2633.62461538	2592.38888889	2593.91634981	2554.23206751	2627.84722222	2307.16483516	2189.3373494	2435.60344828	2250.63559322	2638.82679739	2878.12618297	2611.13671875	2672.80620155	2398.94623656	2569.05466238	2461.80803571	2524.73684211	2421.84210526	2205.92771084	2242.71428571
alpha_rarefaction_10009_8.txt	10009	8	2695.5971223	2210.66063348	2658.06390977	2316.80228137	2576.30208333	2737.05447471	n/a	2345.16049383	2367.56060606	2407.75298805	2664.07717042	2568.01136364	2659.77307692	2222.375	2608.35234899	2602.74509804	2056.06563707	2576.66903915	2326.10416667	2624.75347222	2721.06646526	2550.87632509	2538.8	2522.23938224	2678.73615635	2299.77099237	2592.35797665	2778.56934307	2082.80686695	2170.49586777
alpha_rarefaction_10009_9.txt	10009	9	2780.72490706	2060.2718894	2578.25	2279.37651822	2646.91287879	2511.13261649	n/a	2330.8699187	2057.84444444	2325.92	2719.03703704	2495.34944238	2572.61254613	2172.69776119	2495.98039216	2425.95833333	2139.87727273	2602.23529412	2368.56485356	2694.69395018	2818.82295082	2478.67857143	2615.55555556	2503.95528455	2810.46099291	2324.87449393	2480.35144928	2644.51034483	2190.94396552	2074.64453125
alpha_rarefaction_20008_0.txt	20008	0	3438.75	2785.03703704	3280.00877193	2828.50326797	3116.13274336	3191.29746835	n/a	2809.30841121	2632.24738676	2811.71717172	3161.29842932	3168.28783383	2996.36599424	3192.55520505	3179.24576271	2775.08211144	2643.68707483	2966.00779221	2887.36038961	3208.10465116	3297.0	2931.09756098	3195.84741144	3063.11041009	3678.69905956	2716.92307692	2973.89057751	2903.76903553	2715.59139785	2551.30841121
alpha_rarefaction_20008_1.txt	20008	1	3482.87724551	2873.33707865	3341.03927492	2784.41975309	2941.88075881	3096.31964809	n/a	2911.16723549	2700.29411765	2694.18125	3105.05384615	2965.02034884	3042.7184466	2981.71856287	3149.27272727	2831.50764526	2664.61678832	3136.15340909	2693.07216495	3258.04032258	3368.26315789	3077.23404255	3193.14713896	2943.45697329	3484.92507205	2817.18611987	3060.29597701	2976.008	2620.38436482	2480.0173913
alpha_rarefaction_20008_2.txt	20008	2	3518.14550265	2645.88104089	3271.58092486	2870.33333333	2993.97796143	3158.77777778	n/a	2746.21974522	2664.14189189	2872.37837838	3153.68449198	3226.76923077	3185.00943396	2984.4	3229.12138728	2886.01818182	2563.03767123	3241.67961165	3039.46931408	3228.375	3623.74365482	2830.28532609	3084.0308642	3099.33628319	3304.18306011	2859.14375	3017.04573171	2954.39637306	2629.74193548	2579.48502994
alpha_rarefaction_20008_3.txt	20008	3	3267.83333333	2716.86872587	3126.29190751	2872.49342105	2939.21367521	3095.4054878	n/a	2760.65517241	2600.33892617	2814.67676768	3155.96183206	3047.50151057	3150.91964286	2963.44036697	3199.33429395	2807.05722892	2523.05016722	2989.56213018	2696.80952381	3199.39622642	3532.25806452	2986.26686217	3116.2920354	3101.45558739	3196.57364341	2832.67549669	2971.28963415	3026.5862069	2492.53767123	2576.61583578
alpha_rarefaction_20008_4.txt	20008	4	3461.89945652	2582.5631769	3082.17548747	2906.49180328	3089.01749271	3322.52531646	n/a	2874.65263158	2656.39163498	2720.53370787	3166.27882038	3353.52631579	3016.58579882	2964.52147239	3194.06179775	2991.4012945	2736.62765957	3235.85964912	2654.10650888	3065.7712766	3298.44715447	2965.15966387	3326.76	3230.2388535	3381.4197861	2881.27960526	3097.3220339	3007.54972376	2712.60456274	2521.08069164
alpha_rarefaction_20008_5.txt	20008	5	3447.6	2574.01185771	3187.93352601	2821.80515759	2884.41310541	3199.75308642	n/a	2802.46101695	2780.2481203	2663.13353116	3142.01492537	3190.85173502	3192.76666667	2836.45697329	3171.67964072	2884.34954407	2723.59469697	3096.26553672	2873.28246753	3177.22701149	3552.53846154	2933.49152542	3206.52365931	3027.00561798	3278.34231806	2836.49371069	3041.42105263	3031.24010554	2554.04040404	2646.0060423
