	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc20	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc30	515rcbc28	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_10009_7.txt	10009	7	97.39506	82.14752	94.41657	88.2144	90.1207	91.19906	n/a	89.20212	84.3723	89.74091	97.82666	94.28311	91.86464	89.05715	93.73193	89.12238	86.08807	92.71143	84.39858	92.47165	99.90299	94.53927	94.53293	90.79893	95.90158	89.44864	89.97075	92.0378	84.1451	83.16326
alpha_rarefaction_10009_8.txt	10009	8	96.92303	85.47258	91.17977	89.01815	89.46603	91.28205	n/a	85.58893	84.6445	86.681	96.39077	93.69388	92.94747	87.77826	92.32054	91.51808	86.93719	92.89114	86.79305	92.4663	96.27668	93.70126	94.38322	92.3971	96.96844	88.65752	90.62738	94.3434	81.87642	82.32223
alpha_rarefaction_10009_9.txt	10009	9	94.50194	85.6177	93.41172	88.92337	90.6517	90.89569	n/a	86.58185	83.09163	89.54334	99.44525	91.76522	93.47091	87.71583	91.45849	91.08167	84.33137	96.13918	86.03057	91.83948	98.32074	92.37852	96.19506	89.78565	98.94935	88.92027	88.93711	94.79206	82.58229	82.00987
alpha_rarefaction_20008_0.txt	20008	0	119.5367	104.43437	115.8206	108.36498	110.95537	110.46658	n/a	105.91086	101.62656	108.04964	118.12553	115.71835	111.33543	112.69031	114.22319	109.91554	104.5666	113.55844	107.41088	114.03994	122.03934	113.94647	119.82042	112.52737	120.6242	106.45172	108.6477	112.36723	101.42664	99.66967
alpha_rarefaction_20008_1.txt	20008	1	116.87165	106.25052	113.85032	109.28288	109.48072	111.49873	n/a	105.0674	103.4092	105.96277	118.06764	112.51096	110.42215	113.77775	116.42106	109.18767	103.67221	115.89763	101.99857	114.12863	120.40615	113.35082	120.67213	112.33133	120.34779	107.82169	111.44555	114.51372	102.25358	102.84312
alpha_rarefaction_20008_2.txt	20008	2	119.80342	104.37749	116.46261	110.11841	109.11183	112.25163	n/a	106.08667	104.86505	108.12686	117.79847	115.92675	113.15981	110.1046	113.93809	110.08583	101.39417	112.95757	104.28699	113.07094	122.4295	112.62437	117.17614	116.79575	119.23102	108.72053	109.60338	114.05572	99.90966	102.39485
alpha_rarefaction_20008_3.txt	20008	3	116.45782	102.40851	113.33691	108.5905	108.82206	112.59474	n/a	105.33124	101.15885	107.91565	118.34696	111.65084	114.21793	109.93828	114.08945	108.63281	103.75368	113.86502	102.51847	115.68121	120.64403	114.94526	116.58083	113.66587	117.77363	107.79602	107.6293	112.38263	95.934	102.42329
alpha_rarefaction_20008_4.txt	20008	4	120.12148	103.66966	111.30315	107.77652	109.02527	112.26078	n/a	107.01065	101.97757	111.04014	118.00406	114.44555	110.97332	111.84355	115.12704	109.66456	105.28248	115.92682	104.21287	112.41457	116.46157	113.51758	120.23196	113.34869	120.52098	107.83002	107.55911	112.41029	97.99448	101.57975
alpha_rarefaction_20008_5.txt	20008	5	119.2192	100.68271	113.10798	110.10916	108.35014	111.17494	n/a	104.74128	104.25654	106.5591	118.96503	114.74734	113.44942	110.21148	113.88496	109.25697	102.92847	114.7318	105.04172	110.82083	122.17737	113.86354	116.13375	113.69419	119.85344	109.22793	109.47766	114.27914	99.86338	102.73537
alpha_rarefaction_20008_6.txt	20008	6	117.54676	104.57337	112.10001	109.55786	109.42205	111.45265	n/a	105.14786	104.86558	106.48433	118.33383	114.31092	112.80758	111.00048	114.52363	109.67355	103.88348	113.88286	105.40403	110.66344	122.57602	112.63035	118.64005	112.89479	119.15285	108.1583	109.83806	113.75972	99.9714	102.14613
