	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc30	515rcbc28	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
515rcbc12	0.0	0.226906426176	0.292961951176	0.292986867647	0.278343361765	0.207684203824	0.305043615294	0.332835628824	0.229830974706	0.186546256765	0.292891451765	0.279573498824	0.323178065882	0.200572196471	0.217439943235	0.203409725	0.172693897059	0.233743137647	0.236715257647	0.1980282	0.258115161176	0.313720451176	0.262857519706	0.245750375588	0.235913283824	0.213644749412	0.252952667647	0.302353068824	0.263370017647
515rcbc21	0.226906426176	0.0	0.180587572059	0.159573302059	0.186854763824	0.174398881765	0.178166877353	0.180660377353	0.109976290882	0.16233901	0.165389713235	0.131796840294	0.223146335	0.171710205588	0.138000510588	0.102648137059	0.181134373824	0.171531275588	0.186423406765	0.150131010294	0.176252950294	0.209362053235	0.156759928824	0.159048268824	0.172547543529	0.126964832059	0.190571630294	0.239290655588	0.361017266176
515rcbc17	0.292961951176	0.180587572059	0.0	0.0922187211765	0.136785447647	0.200560093824	0.101890767059	0.163727816471	0.145443539412	0.154491056765	0.117730628824	0.0881403123529	0.207585468235	0.186365378235	0.138106135588	0.178756029118	0.190645535882	0.214223051176	0.168203315294	0.175792381176	0.139898861765	0.154174482353	0.138775185	0.101141855588	0.155085534412	0.152917727059	0.21716816	0.248030986471	0.357185689412
515rcbc34	0.292986867647	0.159573302059	0.0922187211765	0.0	0.156958710588	0.212031173235	0.120043891765	0.110646008824	0.143805591765	0.161631448529	0.0911807676471	0.0685662764706	0.180078491176	0.201997788235	0.144020847353	0.154874453824	0.199646781176	0.21217938	0.180656738235	0.184092416471	0.133999742353	0.140398667059	0.134206313824	0.114608703824	0.169010557353	0.155557996471	0.218913031176	0.259734777059	0.379071487647
515rcbc33	0.278343361765	0.186854763824	0.136785447647	0.156958710588	0.0	0.190801670882	0.16623796	0.229621822941	0.109019112941	0.159299397353	0.167143702941	0.146732858824	0.258156243529	0.15363832	0.151866380882	0.192194263824	0.202357440588	0.181522737647	0.147038135294	0.168433414118	0.172304183529	0.212921398824	0.147758465	0.141336990294	0.113591000882	0.159167794118	0.198787763529	0.186255263529	0.359949680588
515rcbc31	0.207684203824	0.174398881765	0.200560093824	0.212031173235	0.190801670882	0.0	0.232252440882	0.255347732647	0.162800629118	0.135928980588	0.208939083235	0.201241546765	0.247304006176	0.0864747432353	0.155169949412	0.166320322941	0.184349221471	0.114532003824	0.142154405	0.0959223526471	0.184410304412	0.235905517353	0.196412475882	0.180113081176	0.203731072941	0.142300210294	0.147662203235	0.213880702059	0.289069323824
515rcbc15	0.305043615294	0.178166877353	0.101890767059	0.120043891765	0.16623796	0.232252440882	0.0	0.191125324706	0.150308914706	0.178450050882	0.146208006471	0.112226922941	0.227013542941	0.221350294706	0.143984532059	0.168048187353	0.225209543529	0.24397102	0.209525857059	0.205063378235	0.200527476471	0.206523098235	0.182570458529	0.145571292059	0.178585536765	0.184739589412	0.245067835294	0.260635084118	0.371569993529
515rcbc26	0.332835628824	0.180660377353	0.163727816471	0.110646008824	0.229621822941	0.255347732647	0.191125324706	0.0	0.199239826471	0.219984996176	0.105585747647	0.123855564118	0.185113073529	0.253195265294	0.201812639706	0.183059663824	0.231506475294	0.251232999412	0.230199626471	0.225214007647	0.164133846471	0.132157284706	0.164228922647	0.181811072647	0.221642597941	0.195062876471	0.257396101765	0.301073673529	0.431608228235
515rcbc22	0.229830974706	0.109976290882	0.145443539412	0.143805591765	0.109019112941	0.162800629118	0.150308914706	0.199239826471	0.0	0.136835973235	0.140010695882	0.126550304706	0.23931026	0.13740654	0.115937307353	0.122404640294	0.157859155882	0.158247618824	0.132663350588	0.131710408235	0.147177419412	0.195872334706	0.109306481471	0.127757557941	0.0974406926471	0.125761746471	0.184658331176	0.18693075	0.349033869412
515rcbc37	0.186546256765	0.16233901	0.154491056765	0.161631448529	0.159299397353	0.135928980588	0.178450050882	0.219984996176	0.136835973235	0.0	0.172147214412	0.153775750882	0.214735063235	0.0975896561765	0.106617651176	0.133396531765	0.135381150294	0.163321592647	0.132982278529	0.0984588161765	0.134314340294	0.187703065588	0.164675414118	0.123211915882	0.156085834706	0.119195223235	0.164104107353	0.238076384412	0.284063350294
515rcbc24	0.292891451765	0.165389713235	0.117730628824	0.0911807676471	0.167143702941	0.208939083235	0.146208006471	0.105585747647	0.140010695882	0.172147214412	0.0	0.0983626611765	0.212218207059	0.200896067059	0.146149650882	0.154710206765	0.192495505882	0.217465137647	0.188017570588	0.179106871176	0.128914968235	0.131045790588	0.123093016176	0.136136063235	0.164735950294	0.170783471765	0.226400300588	0.266730615294	0.390139668235
515rcbc18	0.279573498824	0.131796840294	0.0881403123529	0.0685662764706	0.146732858824	0.201241546765	0.112226922941	0.123855564118	0.126550304706	0.153775750882	0.0983626611765	0.0	0.178679783529	0.194262922353	0.131791569706	0.138590115	0.176242774706	0.196447615882	0.167904111176	0.163799277647	0.133059322941	0.139742248235	0.125246634412	0.100587769118	0.150475709706	0.13503801	0.208578393529	0.237762635882	0.374514935294
515rcbc35	0.323178065882	0.223146335	0.207585468235	0.180078491176	0.258156243529	0.247304006176	0.227013542941	0.185113073529	0.23931026	0.214735063235	0.212218207059	0.178679783529	0.0	0.248832315882	0.219591580294	0.195923755588	0.233760204706	0.237845581176	0.232394972353	0.220031160588	0.200820221176	0.178475552353	0.231164442647	0.202256093235	0.262432250882	0.198423262353	0.225366104118	0.319667601765	0.40869506
515rcbc11	0.200572196471	0.171710205588	0.186365378235	0.201997788235	0.15363832	0.0864747432353	0.221350294706	0.253195265294	0.13740654	0.0975896561765	0.200896067059	0.194262922353	0.248832315882	0.0	0.145183647353	0.164081537941	0.151923828235	0.110261415882	0.106680488824	0.100154188235	0.156946618235	0.218752025882	0.171114707941	0.154733292647	0.160480028529	0.130937652941	0.137231167059	0.192873370588	0.290375449412
515rcbc27	0.217439943235	0.138000510588	0.138106135588	0.144020847353	0.151866380882	0.155169949412	0.143984532059	0.201812639706	0.115937307353	0.106617651176	0.146149650882	0.131791569706	0.219591580294	0.145183647353	0.0	0.120365685882	0.158127824412	0.180968430882	0.163682629706	0.124598183824	0.156301871471	0.200306167941	0.148994280588	0.118241023529	0.1534014	0.114347019706	0.186172909118	0.233528648529	0.312308576176
515rcbc13	0.203409725	0.102648137059	0.178756029118	0.154874453824	0.192194263824	0.166320322941	0.168048187353	0.183059663824	0.122404640294	0.133396531765	0.154710206765	0.138590115	0.195923755588	0.164081537941	0.120365685882	0.0	0.151290237353	0.178664742647	0.161684266176	0.129545299706	0.159452853235	0.210633526765	0.156196717647	0.146712589412	0.152717640588	0.133828258529	0.193529932647	0.246953063235	0.345273890882
515rcbc23	0.172693897059	0.181134373824	0.190645535882	0.199646781176	0.202357440588	0.184349221471	0.225209543529	0.231506475294	0.157859155882	0.135381150294	0.192495505882	0.176242774706	0.233760204706	0.151923828235	0.158127824412	0.151290237353	0.0	0.191113332941	0.130730517059	0.135548298824	0.133222575882	0.200113512353	0.135757556765	0.150630971471	0.144640872059	0.146661774706	0.201733871176	0.238307922353	0.313233423529
515rcbc32	0.233743137647	0.171531275588	0.214223051176	0.21217938	0.181522737647	0.114532003824	0.24397102	0.251232999412	0.158247618824	0.163321592647	0.217465137647	0.196447615882	0.237845581176	0.110261415882	0.180968430882	0.178664742647	0.191113332941	0.0	0.133959582353	0.122575019412	0.190106947059	0.221488055294	0.188161776176	0.195119212059	0.197561947353	0.140858721176	0.118147172941	0.171347034706	0.325598462353
