	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc30	515rcbc28	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
515rcbc12	0.0	0.436634216648	0.427070179946	0.471953892629	0.448282837408	0.482663501865	0.452939451286	0.520859490561	0.430788594915	0.451537688528	0.440368730676	0.455939113906	0.510212169692	0.465948282873	0.417896298245	0.417262139298	0.429162099828	0.526628691103	0.489437704864	0.463437605616	0.446291050501	0.517139041989	0.416105967646	0.461418547822	0.43548881638	0.461516265288	0.50606602476	0.565696828727	0.502842189623
515rcbc21	0.436634216648	0.0	0.415302340604	0.392125363928	0.429649276337	0.486492316989	0.37660865717	0.426400841012	0.382794338395	0.45671864076	0.37645814534	0.375634259246	0.480816070073	0.500766845787	0.40323321214	0.357950313773	0.457274686008	0.51375332455	0.506336779283	0.473696323468	0.462485373236	0.492074661775	0.427130403771	0.443508825065	0.396493476539	0.443657905105	0.533289564558	0.55704428785	0.522217479868
515rcbc17	0.427070179946	0.415302340604	0.0	0.391830379366	0.406387490852	0.447345639569	0.394918867219	0.43845826784	0.387354578677	0.381613451782	0.374250094014	0.374657563252	0.418425854657	0.439388157962	0.360090042838	0.377288560146	0.39806300385	0.48110376436	0.455727356202	0.423687591472	0.390236175925	0.432102855357	0.371778670608	0.380275838922	0.392224689312	0.398176050228	0.472287933968	0.540231622894	0.496414650269
515rcbc34	0.471953892629	0.392125363928	0.391830379366	0.0	0.428426204502	0.486062858191	0.389727949634	0.398894071088	0.390324234696	0.436386416539	0.371247546485	0.356431130234	0.441443459123	0.483044300764	0.396744517897	0.384425433314	0.443431547884	0.489514262003	0.491695308386	0.469957772545	0.434822125146	0.458579576109	0.391706254777	0.412438664446	0.395627690156	0.423844260276	0.499399064034	0.559348551747	0.541925425091
515rcbc33	0.448282837408	0.429649276337	0.406387490852	0.428426204502	0.0	0.445544174674	0.404508342929	0.474599613339	0.37674845131	0.411861098977	0.419644591794	0.420763255412	0.487812429304	0.423688616872	0.393177919897	0.402483577531	0.401504278722	0.436319501837	0.436129994653	0.406543467834	0.418633060462	0.483478246862	0.382990467711	0.393788095056	0.373333374464	0.412309941056	0.458562638031	0.490176840377	0.482955835169
515rcbc31	0.482663501865	0.486492316989	0.447345639569	0.486062858191	0.445544174674	0.0	0.485570299158	0.539010971787	0.447818816795	0.434365565074	0.463622653142	0.475638368806	0.492204763012	0.392427735349	0.428575955975	0.457534402293	0.427269190704	0.414222465723	0.389666795417	0.413140230839	0.431860396713	0.509665224148	0.448151322385	0.444714479645	0.459790031893	0.413742767074	0.426142213558	0.489266177958	0.460850193148
515rcbc15	0.452939451286	0.37660865717	0.394918867219	0.389727949634	0.404508342929	0.485570299158	0.0	0.427225795049	0.349424550035	0.428501440635	0.354192010365	0.369579660859	0.463585374275	0.469288576472	0.380147154807	0.354134230256	0.423376072525	0.481380098569	0.48253215417	0.445023864092	0.434780795938	0.477957423406	0.401629569788	0.423882557937	0.36781340697	0.439128080477	0.511777584214	0.54496723387	0.51301760002
515rcbc26	0.520859490561	0.426400841012	0.43845826784	0.398894071088	0.474599613339	0.539010971787	0.427225795049	0.0	0.455146716216	0.480695224362	0.422630445333	0.39899674171	0.453697352356	0.531949244719	0.452409640133	0.427518551873	0.491384137458	0.53546147598	0.531492882394	0.518303356346	0.479516138538	0.468752251602	0.455661707444	0.452437117523	0.442544843756	0.455838840558	0.553575721028	0.59636537069	0.577715318453
515rcbc22	0.430788594915	0.382794338395	0.387354578677	0.390324234696	0.37674845131	0.447818816795	0.349424550035	0.455146716216	0.0	0.414084392888	0.385895096063	0.386043832568	0.474594619776	0.439060580902	0.379509151194	0.359362990382	0.410294726019	0.455993199758	0.445222455272	0.424962723774	0.428102070072	0.48630456214	0.38235726408	0.414118123497	0.357845010919	0.421903562131	0.479018915538	0.507589921523	0.487097443734
515rcbc37	0.451537688528	0.45671864076	0.381613451782	0.436386416539	0.411861098977	0.434365565074	0.428501440635	0.480695224362	0.414084392888	0.0	0.413802392217	0.406390000025	0.428076440499	0.380621810609	0.379332630842	0.404579466111	0.370853328672	0.456727207869	0.426761054361	0.382420813865	0.364620658162	0.433493478182	0.389611631671	0.374942614815	0.417094382553	0.406726295933	0.433087562364	0.542595991736	0.474224799094
