	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc30	515rcbc28	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_3409_7.txt	3409	7	69.9926	58.38645	63.22809	62.83953	61.09137	62.03034	60.24862	57.79128	60.63707	69.48134	63.5801	65.69588	63.24257	64.48962	64.76002	63.78179	66.1298	59.05094	63.72497	68.48654	67.7093	64.89187	63.92026	67.41456	63.97515	61.54328	64.3837	57.43303	56.76133
alpha_rarefaction_3409_8.txt	3409	8	66.40247	60.55418	62.40237	61.52444	61.45748	62.81025	59.87931	62.03209	64.01238	66.66144	66.12827	63.11095	58.26846	64.80463	64.09558	60.70312	66.95214	61.72616	64.25161	70.1557	64.55675	64.25779	63.03717	66.29196	63.7769	61.8169	67.44802	57.38071	57.29538
alpha_rarefaction_3409_9.txt	3409	9	67.53961	60.74124	61.98076	58.93065	60.97912	65.02209	59.99676	62.70393	61.67829	65.08038	65.30306	64.13122	60.55382	65.93833	64.3126	61.28767	66.14903	59.8801	64.30637	69.44086	63.9524	63.96733	64.04977	67.16578	65.57022	58.81042	67.46416	59.40724	56.78638
alpha_rarefaction_6808_0.txt	6808	0	85.21574	73.62509	77.71666	77.17027	80.50261	79.24934	76.95235	75.83168	76.99832	87.7865	82.14017	82.25788	79.10125	82.46343	80.6852	78.56817	83.92582	75.63266	83.02766	86.7299	85.11227	84.69523	79.16725	85.95922	79.24929	78.84002	83.48277	71.28751	73.15021
alpha_rarefaction_6808_1.txt	6808	1	84.53873	78.21464	80.66217	78.97309	79.26893	79.95757	75.32413	76.89319	79.39213	85.87771	82.60773	82.05048	80.32802	82.76349	81.62338	78.12168	82.97013	76.12055	82.16774	87.43995	84.00283	83.51174	81.2863	86.14246	78.79716	77.69043	78.87621	74.03557	72.9253
alpha_rarefaction_6808_2.txt	6808	2	84.46253	78.40584	79.78307	80.2638	79.98522	79.00976	76.08683	75.06608	80.65555	85.56626	80.92169	83.51287	78.97421	80.74581	82.13547	78.6981	83.01587	74.89171	79.93325	89.6301	84.88231	82.58042	82.38684	85.89632	80.2439	80.33212	82.2525	72.80109	73.14569
alpha_rarefaction_6808_3.txt	6808	3	84.56728	75.98165	79.2264	77.23853	80.5666	76.83552	76.79914	73.91634	79.98829	84.08905	82.71029	81.24566	79.22778	82.84421	80.76022	75.9968	82.34674	73.69206	84.37736	85.9061	83.06284	82.14104	81.90015	86.75797	77.95638	78.81554	83.91504	73.40127	73.89636
alpha_rarefaction_6808_4.txt	6808	4	86.86276	77.07721	82.84181	79.83838	81.59761	83.29175	76.91511	75.19169	76.34226	86.33411	81.40547	81.80003	77.98198	80.81002	81.39764	76.05506	81.05305	75.89751	81.50679	85.34346	82.56107	85.69758	79.75876	82.36506	79.98329	78.87609	83.5155	74.82387	73.54677
alpha_rarefaction_6808_5.txt	6808	5	84.53465	76.40023	81.16773	78.8246	77.39281	80.59652	76.03817	73.99327	80.12527	85.09606	81.11375	82.2627	79.28036	82.99094	82.82745	77.80215	83.13474	74.75118	83.46012	86.35873	82.2027	83.97791	82.32104	84.49174	82.63534	77.24901	81.98381	72.5875	74.15425
alpha_rarefaction_6808_6.txt	6808	6	86.15975	74.39551	80.34341	82.24164	79.90217	80.03809	73.39649	74.89322	78.1057	85.36103	81.66703	81.45404	76.81362	81.05405	77.92288	75.89275	81.16053	77.75165	81.20332	87.55189	82.07289	83.67749	82.09197	84.77814	80.14937	77.19229	83.46974	74.15004	73.58463
alpha_rarefaction_6808_7.txt	6808	7	85.08089	77.47026	79.71642	78.00858	80.32281	78.89323	74.93615	75.32348	78.07319	88.25513	84.14594	84.538	76.77408	83.84121	82.92711	76.57072	80.82058	75.15371	80.56558	86.69254	82.93188	82.17657	81.81142	87.85034	80.08809	77.53898	83.96745	71.40532	74.55251
alpha_rarefaction_6808_8.txt	6808	8	84.46255	74.69229	79.93937	78.24788	79.92592	81.73545	76.57017	74.02734	79.07277	86.23965	83.31072	80.97975	79.00336	82.36683	81.23717	75.22141	82.7628	76.49522	80.44212	85.81076	83.41204	81.82474	80.37375	87.16312	78.87972	78.69596	82.53622	72.50695	71.52406
alpha_rarefaction_6808_9.txt	6808	9	84.22607	74.35374	80.48904	79.80077	79.4517	78.31957	75.77577	76.27688	79.23338	87.4273	83.34864	82.15096	78.23698	84.36613	82.98405	77.85177	83.38499	77.56997	83.33251	84.4546	81.75812	83.89327	83.84117	88.05136	80.14241	79.80005	83.6994	71.50955	74.14828
alpha_rarefaction_10207_0.txt	10207	0	96.58784	89.18477	95.23691	89.16744	89.91094	90.51996	86.14937	86.85199	90.42107	96.81427	94.09603	94.1101	89.72458	92.13228	91.55045	86.51119	94.00213	85.63009	93.46998	99.22677	92.1712	95.83707	92.34131	96.06457	91.13887	91.13183	96.1091	82.94106	85.06397
alpha_rarefaction_10207_1.txt	10207	1	97.133	85.60989	93.00725	92.99258	91.70658	93.52431	85.94724	83.34787	88.16389	96.78595	95.48718	93.52138	87.44401	93.93004	91.55499	86.08016	94.17456	86.62328	94.17841	97.02965	91.93699	94.64785	93.82718	96.97177	90.17181	88.78275	94.93377	81.59442	83.36149
alpha_rarefaction_10207_2.txt	10207	2	98.80425	85.18342	92.42504	91.41453	92.34469	91.93673	86.17961	85.09611	87.81515	97.55816	96.68481	91.58635	89.77154	93.98452	89.48688	88.19997	93.84796	87.39266	95.15853	97.68735	94.38354	94.61595	92.41627	97.42589	89.6734	92.12568	96.78561	82.19358	83.68516
alpha_rarefaction_10207_3.txt	10207	3	95.88695	86.2391	92.31059	90.14733	92.87468	89.84401	86.98429	83.41135	87.58447	96.59986	93.5864	93.31351	87.53998	95.00865	92.26651	85.713	94.76919	85.6469	92.57234	99.64426	95.13458	94.6216	93.41452	99.87126	90.19879	88.97652	94.12582	83.14352	83.8468
alpha_rarefaction_10207_4.txt	10207	4	97.19335	85.79403	91.28375	89.71205	90.40314	89.61674	85.61278	85.38886	91.32055	98.15161	95.63782	93.73822	88.40275	95.89198	90.67629	86.34848	94.37483	86.09321	94.36351	99.81895	93.51976	96.39349	94.97156	98.39602	89.32275	88.8033	95.13417	81.77175	85.01814
alpha_rarefaction_10207_5.txt	10207	5	96.49101	85.95399	90.77158	89.69833	90.64714	90.87604	84.94722	86.38235	92.49775	97.11711	95.24879	95.2374	88.70605	93.98181	91.8188	90.25082	96.03039	88.97151	93.70225	98.42813	96.11835	93.3824	92.42149	96.3235	91.42888	90.15078	93.74519	82.81776	84.22847
alpha_rarefaction_10207_6.txt	10207	6	94.86476	85.22548	93.33139	90.63647	92.51509	90.51988	87.65139	85.08575	88.97965	97.0284	93.42678	94.13782	86.75817	94.09144	91.41619	86.22641	93.82619	84.85339	93.03723	99.19629	95.79774	93.57949	93.85483	98.01604	88.35713	89.58859	93.68056	84.09529	84.54664
alpha_rarefaction_10207_7.txt	10207	7	95.20302	85.05581	93.38776	89.84242	89.70974	91.86072	88.98128	85.67638	88.51429	95.24507	93.15955	94.58376	88.58521	94.97276	90.40818	87.24902	94.98337	86.66996	93.5698	99.7124	94.66807	97.73669	91.54371	100.99078	87.94294	91.95259	95.39488	83.23974	83.77881
