Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
-0.13053	-0.131043	515rcbc25	0.0	515rcbc24	0.0	None	None
-0.13053	-0.131086	515rcbc25	0.0	515rcbc17	0.0	None	None
-0.130816	-0.1310242	515rcbc34	0.0	515rcbc27	0.0	None	None
-0.1309	-0.1312857	3257.22090136	189.592494085	515rcbc10	0.0	0.823927453067	1.0
-0.130816	-0.131043	515rcbc34	0.0	515rcbc24	0.0	None	None
-0.130816	-0.131086	515rcbc34	0.0	515rcbc17	0.0	None	None
-0.1308888	-0.13064	515rcbc35	0.0	515rcbc16	0.0	None	None
-0.131	-0.13103	515rcbc8	0.0	515rcbc14	0.0	None	None
-0.130816	-0.13074	515rcbc34	0.0	515rcbc26	0.0	None	None
-0.130816	-0.159251	515rcbc34	0.0	515rcbc12	0.0	None	None
-0.131737	-0.13122	515rcbc37	0.0	515rcbc9	0.0	None	None
-0.1308888	-0.1309	515rcbc35	0.0	3257.22090136	189.592494085	0.284088929676	1.0
-0.130722	-0.1312857	515rcbc36	0.0	515rcbc10	0.0	None	None
-0.1332937	-0.1309	515rcbc30	0.0	3257.22090136	189.592494085	1.21712982179	1.0
-0.1300144	-0.1310242	515rcbc32	0.0	515rcbc27	0.0	None	None
-0.13064	-0.13122	515rcbc16	0.0	515rcbc9	0.0	None	None
-0.1316	-0.13053	515rcbc11	0.0	515rcbc25	0.0	None	None
-0.1332937	-0.13053	515rcbc30	0.0	515rcbc25	0.0	None	None
-0.13053	-0.13123	515rcbc25	0.0	515rcbc13	0.0	None	None
-0.1307983	-0.131043	515rcbc18	0.0	515rcbc24	0.0	None	None
-0.1310242	-0.131043	515rcbc27	0.0	515rcbc24	0.0	None	None
-0.131135	-0.131043	515rcbc29	0.0	515rcbc24	0.0	None	None
-0.13133	-0.130722	515rcbc19	0.0	515rcbc36	0.0	None	None
-0.13074	-0.13072	515rcbc26	0.0	515rcbc22	0.0	None	None
-0.13049	-0.13122	515rcbc23	0.0	515rcbc9	0.0	None	None
-0.131737	-0.1312857	515rcbc37	0.0	515rcbc10	0.0	None	None
-0.1300144	-0.1309	515rcbc32	0.0	3257.22090136	189.592494085	-0.34509626223	1.0
-0.131737	-0.131	515rcbc37	0.0	515rcbc8	0.0	None	None
-0.130816	-0.13103	515rcbc34	0.0	515rcbc14	0.0	None	None
-0.1316	-0.13072	515rcbc11	0.0	515rcbc22	0.0	None	None
-0.131135	-0.13074	515rcbc29	0.0	515rcbc26	0.0	None	None
-0.1316	-0.130722	515rcbc11	0.0	515rcbc36	0.0	None	None
-0.1309	-0.13122	3257.22090136	189.592494085	515rcbc9	0.0	0.485051899731	1.0
-0.1302	-0.131086	515rcbc31	0.0	515rcbc17	0.0	None	None
-0.13123	-0.159251	515rcbc13	0.0	515rcbc12	0.0	None	None
-0.13133	-0.131043	515rcbc19	0.0	515rcbc24	0.0	None	None
-0.1300144	-0.1308888	515rcbc32	0.0	515rcbc35	0.0	None	None
-0.1307983	-0.130722	515rcbc18	0.0	515rcbc36	0.0	None	None
